atomic_number,name,symbol,atomic_weight,group,period,availability
1,Hydrogen,H,1.008,1,1,No
2,Helium,He,4.0026,18,1,No
3,Lithium,Li,6.94,1,2,Yes
4,Beryllium,Be,9.0122,2,2,Yes
5,Boron,B,10.81,13,2,Yes
6,Carbon,C,12.01,14,2,No
7,Nitrogen,N,14.01,15,2,No
8,Oxygen,O,16,16,2,No
9,Fluorine,F,19,17,2,No
10,Neon,Ne,20.18,18,2,No
11,Sodium,Na,22.99,1,3,Yes
12,Magnesium,Mg,24.31,2,3,Yes
13,Aluminum,Al,26.98,13,3,Yes
14,Silicon,Si,28.09,14,3,Yes
15,Phosphorus,P,30.97,15,3,No
16,Sulfur,S,32.07,16,3,No
17,Chlorine,Cl,35.45,17,3,No
18,Argon,Ar,39.95,18,3,No
19,Potassium,K,39.1,1,4,No
20,Calcium,Ca,40.08,2,4,Yes
21,Scandium,Sc,44.96,3,4,Yes
22,Titanium,Ti,47.87,4,4,Yes
23,Vanadium,V,50.94,5,4,Yes
24,Chromium,Cr,52,6,4,Yes
25,Manganese,Mn,54.94,7,4,Yes
26,Iron,Fe,55.845,8,4,Yes
27,Cobalt,Co,58.933,9,4,Yes
28,Nickel,Ni,58.693,10,4,Yes
29,Copper,Cu,63.546,11,4,Yes
30,Zinc,Zn,65.38,12,4,Yes
31,Gallium,Ga,69.723,13,4,No
32,Germanium,Ge,72.63,14,4,Yes
33,Arsenic,As,74.922,15,4,No
34,Selenium,Se,78.971,16,4,No
35,Bromine,Br,79.904,17,4,No
36,Krypton,Kr,83.798,18,4,No
37,Rubidium,Rb,85.468,1,5,No
38,Strontium,Sr,87.62,2,5,Yes
39,Yttrium,Y,88.906,3,5,Yes
40,Zirconium,Zr,91.224,4,5,Yes
41,Niobium,Nb,92.906,5,5,Yes
42,Molybdenum,Mo,95.95,6,5,Yes
43,Technetium,Tc,98,7,5,No
44,Ruthenium,Ru,101.07,8,5,Yes
45,Rhodium,Rh,102.91,9,5,No
46,Palladium,Pd,106.42,10,5,Yes
47,Silver,Ag,107.87,11,5,Yes
48,Cadmium,Cd,112.41,12,5,Yes
49,Indium,In,114.82,13,5,Yes
50,Tin,Sn,118.71,14,5,Yes
51,Antimony,Sb,121.76,15,5,Yes
52,Tellurium,Te,127.6,16,5,No
53,Iodine,I,126.9,17,5,No
54,Xenon,Xe,131.29,18,5,No
55,Cesium,Cs,132.91,1,6,No
56,Barium,Ba,137.33,2,6,No
57,Lanthanum,La,138.91,3,6,Yes
58,Cerium,Ce,140.12,f-block,6,Yes
59,Praseodymium,Pr,140.91,f-block,6,No
60,Neodymium,Nd,144.24,f-block,6,Yes
61,Promethium,Pm,145,f-block,6,No
62,Samarium,Sm,150.36,f-block,6,No
63,Europium,Eu,151.96,f-block,6,No
64,Gadolinium,Gd,157.25,f-block,6,Yes
65,Terbium,Tb,158.93,f-block,6,No
66,Dysprosium,Dy,162.5,f-block,6,No
67,Holmium,Ho,164.93,f-block,6,No
68,Erbium,Er,167.26,f-block,6,No
69,Thulium,Tm,168.93,f-block,6,No
70,Ytterbium,Yb,173.05,f-block,6,Yes
71,Lutetium,Lu,174.97,f-block,6,No
72,Hafnium,Hf,178.49,4,6,Yes
73,Tantalum,Ta,180.95,5,6,Yes
74,Tungsten,W,183.84,6,6,Yes
75,Rhenium,Re,186.21,7,6,No
76,Osmium,Os,190.23,8,6,No
77,Iridium,Ir,192.22,9,6,No
78,Platinum,Pt,195.08,10,6,No
79,Gold,Au,196.97,11,6,Yes
80,Mercury,Hg,200.59,12,6,No
81,Thallium,Tl,204.38,13,6,No
82,Lead,Pb,207.2,14,6,No
83,Bismuth,Bi,208.98,15,6,Yes
84,Polonium,Po,209,16,6,No
85,Astatine,At,210,17,6,No
86,Radon,Rn,222,18,6,No
87,Francium,Fr,223,1,7,No
88,Radium,Ra,226,2,7,No
89,Actinium,Ac,227,3,7,No
90,Thorium,Th,232.04,f-block,7,No
91,Protactinium,Pa,231.04,f-block,7,No
92,Uranium,U,238.03,f-block,7,No
93,Neptunium,Np,237,f-block,7,No
94,Plutonium,Pu,244,f-block,7,No
95,Americium,Am,243,f-block,7,No
96,Curium,Cm,247,f-block,7,No
97,Berkelium,Bk,247,f-block,7,No
98,Californium,Cf,251,f-block,7,No
99,Einsteinium,Es,252,f-block,7,No
100,Fermium,Fm,257,f-block,7,No
101,Mendelevium,Md,258,f-block,7,No
102,Nobelium,No,259,f-block,7,No
103,Lawrencium,Lr,262,f-block,7,No
104,Rutherfordium,Rf,267,4,7,No
105,Dubnium,Db,270,5,7,No
106,Seaborgium,Sg,271,6,7,No
107,Bohrium,Bh,270,7,7,No
108,Hassium,Hs,277,8,7,No
109,Meitnerium,Mt,276,9,7,No
110,Darmstadtium,Ds,281,10,7,No
111,Roentgenium,Rg,280,11,7,No
112,Copernicium,Cn,285,12,7,No
113,Nihonium,Nh,284,13,7,No
114,Flerovium,Fl,289,14,7,No
115,Moscovium,Mc,288,15,7,No
116,Livermorium,Lv,293,16,7,No
117,Tennessine,Ts,294,17,7,No
118,Oganesson,Og,294,18,7,No
